sample_id,branch,treatment,saccharide,replicate,free_amino_groups_pct,ige_binding_pct,particle_size_nm,surface_hydrophobicity_au,control_free_amino_groups_pct,control_ige_binding_pct,modification_extent_pct,ige_reduction_vs_control_pct
NON-CON-R1,Non-enzymatic,Non-enzymatic control,Control,1,93.62,98.96,87.24,52.19,95.46600000000001,98.148,1.9336727211782243,-0.8273220035049085
NON-CON-R2,Non-enzymatic,Non-enzymatic control,Control,2,97.91,96.83,106.26,48.91,95.46600000000001,98.148,-2.5600737435317162,1.3428699515018114
NON-CON-R3,Non-enzymatic,Non-enzymatic control,Control,3,95.2,97.1,118.64,49.54,95.46600000000001,98.148,0.27863323067899076,1.067775196641808
NON-CON-R4,Non-enzymatic,Non-enzymatic control,Control,4,95.81,97.66,111.93,46.16,95.46600000000001,98.148,-0.3603377118555235,0.4972082976729017
NON-CON-R5,Non-enzymatic,Non-enzymatic control,Control,5,94.79,100.19,108.43,43.88,95.46600000000001,98.148,0.7081055035300545,-2.080531442311613
NON-LAC-R1,Non-enzymatic,Non-enzymatic Lactose,Lactose,1,62.57,74.63,142.21,39.55,95.46600000000001,98.148,34.458341189533456,23.961772017769086
NON-LAC-R2,Non-enzymatic,Non-enzymatic Lactose,Lactose,2,65.93,79.3,136.44,44.04,95.46600000000001,98.148,30.93876353885153,19.203651628153402
NON-LAC-R3,Non-enzymatic,Non-enzymatic Lactose,Lactose,3,60.31,72.7,130.97,44.05,95.46600000000001,98.148,36.825676156956405,25.928190080286907
NON-LAC-R4,Non-enzymatic,Non-enzymatic Lactose,Lactose,4,66.5,76.55,134.37,42.05,95.46600000000001,98.148,30.34169233025371,22.005542649875697
NON-LAC-R5,Non-enzymatic,Non-enzymatic Lactose,Lactose,5,62.44,70.17,151.08,42.63,95.46600000000001,98.148,34.5945153248277,28.50592982027142
NON-MAN-R1,Non-enzymatic,Non-enzymatic Mannotriose,Mannotriose,1,71.61,76.49,165.09,42.33,95.46600000000001,98.148,24.989001319841623,22.066674817622367
NON-MAN-R2,Non-enzymatic,Non-enzymatic Mannotriose,Mannotriose,2,72.78,81.88,201.2,35.55,95.46600000000001,98.148,23.763434102193457,16.574968415046666
NON-MAN-R3,Non-enzymatic,Non-enzymatic Mannotriose,Mannotriose,3,78.68,91.6,194.42,40.48,95.46600000000001,98.148,17.58322334653175,6.671557240086402
NON-MAN-R4,Non-enzymatic,Non-enzymatic Mannotriose,Mannotriose,4,69.01,82.98,169.69,37.94,95.46600000000001,98.148,27.712484025726436,15.454212006357738
NON-MAN-R5,Non-enzymatic,Non-enzymatic Mannotriose,Mannotriose,5,70.13,80.14,190.46,36.33,95.46600000000001,98.148,26.539291475499144,18.34780127970004
NON-DEX-R1,Non-enzymatic,Non-enzymatic Dextran,Dextran,1,79.04,70.99,268.38,29.71,95.46600000000001,98.148,17.206125741101545,27.67045686106696
NON-DEX-R2,Non-enzymatic,Non-enzymatic Dextran,Dextran,2,79.26,80.17,272.88,34.77,95.46600000000001,98.148,16.975677204449756,18.317235195826704
NON-DEX-R3,Non-enzymatic,Non-enzymatic Dextran,Dextran,3,78.35,75.68,259.11,31.9,95.46600000000001,98.148,17.928896151509452,22.89195908220238
NON-DEX-R4,Non-enzymatic,Non-enzymatic Dextran,Dextran,4,88.76,72.67,293.44,35.37,95.46600000000001,98.148,7.024490394485998,25.958756164160242
NON-DEX-R5,Non-enzymatic,Non-enzymatic Dextran,Dextran,5,81.54,72.39,295.44,33.47,95.46600000000001,98.148,14.58739237005845,26.2440396136447
TG--CON-R1,TG-assisted,TG-assisted control,Control,1,92.58,91.12,165.69,45.4,87.314,92.152,-6.031106122729466,1.119888879242986
TG--CON-R2,TG-assisted,TG-assisted control,Control,2,89.12,89.06,157.03,43.41,87.314,92.152,-2.0683968206702383,3.355325983158259
TG--CON-R3,TG-assisted,TG-assisted control,Control,3,85.44,96.71,172.06,38.13,87.314,92.152,2.146276656664447,-4.946175883323197
TG--CON-R4,TG-assisted,TG-assisted control,Control,4,82.58,88.87,166.41,50.1,87.314,92.152,5.421810935245201,3.5615070752669467
TG--CON-R5,TG-assisted,TG-assisted control,Control,5,86.85,95.0,152.24,40.86,87.314,92.152,0.531415351490023,-3.090546054344994
TG--LAC-R1,TG-assisted,TG-assisted Lactose,Lactose,1,46.13,60.89,206.37,33.93,87.314,92.152,47.167693611562854,33.92438579737824
TG--LAC-R2,TG-assisted,TG-assisted Lactose,Lactose,2,56.19,61.79,194.56,36.55,87.314,92.152,35.64605905124035,32.94773851896866
TG--LAC-R3,TG-assisted,TG-assisted Lactose,Lactose,3,53.46,65.59,185.38,28.14,87.314,92.152,38.77270540806743,28.82411667679486
TG--LAC-R4,TG-assisted,TG-assisted Lactose,Lactose,4,52.34,58.55,194.67,39.99,87.314,92.152,40.05543211856059,36.46366872124317
TG--LAC-R5,TG-assisted,TG-assisted Lactose,Lactose,5,48.69,64.06,206.35,36.38,87.314,92.152,44.23574684472135,30.48441705009115
TG--MAN-R1,TG-assisted,TG-assisted Mannotriose,Mannotriose,1,63.36,67.17,216.82,36.12,87.314,92.152,27.434317520672508,27.109558121364703
TG--MAN-R2,TG-assisted,TG-assisted Mannotriose,Mannotriose,2,62.16,74.56,227.55,37.87,87.314,92.152,28.808667567629477,19.090198801979337
TG--MAN-R3,TG-assisted,TG-assisted Mannotriose,Mannotriose,3,59.15,64.76,200.55,29.7,87.314,92.152,32.25599560207984,29.72480250021703
TG--MAN-R4,TG-assisted,TG-assisted Mannotriose,Mannotriose,4,62.46,63.14,219.57,39.32,87.314,92.152,28.46508005589023,31.482767601354283
TG--MAN-R5,TG-assisted,TG-assisted Mannotriose,Mannotriose,5,62.54,76.16,213.1,25.62,87.314,92.152,28.373456719426432,17.35393697369564
TG--DEX-R1,TG-assisted,TG-assisted Dextran,Dextran,1,72.55,59.33,346.09,29.65,87.314,92.152,16.909086744393793,35.61724107995486
TG--DEX-R2,TG-assisted,TG-assisted Dextran,Dextran,2,65.15,71.21,363.59,30.65,87.314,92.152,25.384245367295037,22.725497004948352
TG--DEX-R3,TG-assisted,TG-assisted Dextran,Dextran,3,67.91,65.77,331.85,28.28,87.314,92.152,22.223240259294037,28.62878722111295
TG--DEX-R4,TG-assisted,TG-assisted Dextran,Dextran,4,67.69,61.59,355.19,24.72,87.314,92.152,22.47520443456948,33.16477124750412
TG--DEX-R5,TG-assisted,TG-assisted Dextran,Dextran,5,66.64,55.99,350.96,31.23,87.314,92.152,23.677760725656817,39.24168764649709
TYR-CON-R1,Tyr/CA-assisted,Tyr/CA-assisted control,Control,1,93.86,107.67,156.28,43.17,93.892,99.414,0.03408171090188352,-8.30466533888587
TYR-CON-R2,Tyr/CA-assisted,Tyr/CA-assisted control,Control,2,99.99,92.32,154.46,48.23,93.892,99.414,-6.494696033740893,7.135815881063038
TYR-CON-R3,Tyr/CA-assisted,Tyr/CA-assisted control,Control,3,89.36,101.58,149.26,47.71,93.892,99.414,4.826822306479782,-2.1787675780071183
TYR-CON-R4,Tyr/CA-assisted,Tyr/CA-assisted control,Control,4,89.97,101.21,134.67,40.66,93.892,99.414,4.177139692412556,-1.8065865974611142
TYR-CON-R5,Tyr/CA-assisted,Tyr/CA-assisted control,Control,5,96.28,94.29,145.52,51.77,93.892,99.414,-2.5433476760533433,5.154203633291081
TYR-LAC-R1,Tyr/CA-assisted,Tyr/CA-assisted Lactose,Lactose,1,73.41,71.53,192.84,35.82,93.892,99.414,21.814425084139224,28.04836340958014
