branch,saccharide,free_amino_groups_pct_mean,free_amino_groups_pct_std,free_amino_groups_pct_count,modification_extent_pct_mean,modification_extent_pct_std,modification_extent_pct_count,ige_binding_pct_mean,ige_binding_pct_std,ige_binding_pct_count,ige_reduction_vs_control_pct_mean,ige_reduction_vs_control_pct_std,ige_reduction_vs_control_pct_count,particle_size_nm_mean,particle_size_nm_std,particle_size_nm_count,surface_hydrophobicity_au_mean,surface_hydrophobicity_au_std,surface_hydrophobicity_au_count
Non-enzymatic,Control,95.466,1.583,5,0.0,1.658,5,98.148,1.406,5,0.0,1.432,5,106.5,11.743,5,48.136,3.202,5
Non-enzymatic,Dextran,81.39,4.291,5,14.745,4.494,5,74.38,3.66,5,24.216,3.729,5,277.85,15.953,5,33.044,2.291,5
Non-enzymatic,Lactose,63.55,2.601,5,33.432,2.724,5,74.67,3.504,5,23.921,3.57,5,139.014,7.885,5,42.464,1.85,5
Non-enzymatic,Mannotriose,72.442,3.77,5,24.117,3.949,5,82.618,5.591,5,15.823,5.697,5,184.172,15.877,5,38.526,2.842,5
TG-assisted,Control,87.314,3.779,5,-0.0,4.328,5,92.152,3.546,5,0.0,3.847,5,162.686,7.935,5,43.58,4.554,5
TG-assisted,Dextran,67.988,2.774,5,22.134,3.177,5,62.778,5.904,5,31.876,6.407,5,349.536,11.792,5,28.906,2.594,5
TG-assisted,Lactose,51.362,3.974,5,41.176,4.552,5,62.176,2.746,5,32.529,2.98,5,197.466,8.952,5,34.998,4.399,5
TG-assisted,Mannotriose,61.934,1.619,5,29.068,1.854,5,69.158,5.868,5,24.952,6.367,5,215.518,9.909,5,33.726,5.833,5
Tyr/CA-assisted,Control,93.892,4.439,5,-0.0,4.728,5,99.414,6.178,5,0.0,6.214,5,148.038,8.598,5,46.308,4.394,5
Tyr/CA-assisted,Dextran,80.758,1.75,5,13.988,1.864,5,66.802,3.209,5,32.804,3.228,5,309.138,7.841,5,31.164,2.114,5
Tyr/CA-assisted,Lactose,68.476,6.246,5,27.069,6.653,5,71.348,1.307,5,28.231,1.315,5,185.33,5.334,5,36.414,1.855,5
